BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.3299;Name=Transcriptional regulator%2C AraC family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3300;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3301;Name=hypothetical protein	38	39	48	64	42	24	36	10	12	88	110	64	18	20	24
ID=fig|671267.8.peg.3302;Name=hypothetical protein	1	4	0	6	2	1	5	2	0	7	2	4	0	2	1
ID=fig|671267.8.repeat.137;Name=repeat region	2	3	1	2	0	6	5	0	0	6	9	3	0	2	3
ID=fig|671267.8.peg.3303;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3304;Name=putative cell surface protein	644	913	488	220	933	212	182	20	133	1353	2403	903	629	309	188
ID=fig|671267.8.peg.3305;Name=putative cell surface protein	540	938	420	246	696	232	159	20	183	1479	2418	941	717	367	266
ID=fig|671267.8.peg.3306;Name=Streptococcal hemagglutinin protein	616	569	334	276	243	374	198	36	70	1494	1701	1050	1047	264	642
ID=fig|671267.8.repeat.138;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.139;Name=repeat region	1	9	0	0	3	1	0	0	0	3	1	1	0	0	0
ID=fig|671267.8.peg.3307;Name=hypothetical protein	0	1	0	0	4	4	3	0	0	2	0	5	0	0	2
ID=fig|671267.8.peg.3308;Name=Integrase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.3309;Name=Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12);Ontology_term=KEGG_ENZYME:3.6.4.12	149	100	73	30	46	28	29	16	10	107	116	66	39	88	24
ID=fig|671267.8.peg.3310;Name=Polysaccharide biosynthesis protein	27	43	24	18	36	0	38	2	8	44	61	46	17	17	10
ID=fig|671267.8.peg.3311;Name=Integral membrane protein	18	27	37	10	20	11	17	0	4	52	64	52	32	11	17
ID=fig|671267.8.peg.3312;Name=hypothetical protein	26	44	40	24	42	21	22	8	18	75	100	72	32	30	17
ID=fig|671267.8.peg.3313;Name=DEAD-box ATP-dependent RNA helicase DeaD ( CshA) (EC 3.6.4.13);Ontology_term=KEGG_ENZYME:3.6.4.13	56	38	36	44	250	58	96	14	24	150	154	94	70	44	34
ID=fig|671267.8.peg.3314;Name=Uncharacterized transcriptional regulator YozG%2C Cro/CI family	256	119	138	31	49	26	36	0	6	104	56	150	31	130	10
ID=fig|671267.8.peg.3315;Name=hypothetical protein	4	7	6	2	5	6	4	0	2	9	16	13	9	2	2
ID=fig|671267.8.peg.3316;Name=hypothetical protein	18	29	46	35	85	40	45	9	17	94	52	76	20	45	8
ID=fig|671267.8.peg.3317;Name=hypothetical protein	92	41	58	61	116	49	85	13	24	129	118	97	63	90	8
ID=fig|671267.8.peg.3318;Name=Putative transmembrane protein	32	43	61	65	129	57	102	14	31	193	99	103	58	74	6
ID=fig|671267.8.peg.3319;Name=hypothetical protein	164	149	209	150	360	289	304	114	133	464	275	291	166	174	40
ID=fig|671267.8.peg.3320;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.3321;Name=FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26);Ontology_term=KEGG_ENZYME:2.7.7.2,KEGG_ENZYME:2.7.1.26	16	7	0	2	19	2	10	2	0	12	13	6	8	6	2
ID=fig|671267.8.peg.3322;Name=Haloacid dehalogenase-like hydrolase	22	3	4	2	21	2	10	0	0	8	11	8	10	2	0
ID=fig|671267.8.peg.3323;Name=Calcium-transporting ATPase	52	38	38	42	188	32	104	8	8	108	58	50	46	36	30
ID=fig|671267.8.peg.3324;Name=Rhamnogalacturonides degradation protein RhiN	22	44	32	23	56	6	31	6	23	83	108	46	18	12	16
ID=fig|671267.8.peg.3325;Name=hypothetical protein	393	111	99	11	18	18	27	12	20	216	350	178	121	118	48
ID=fig|671267.8.peg.3326;Name=hypothetical protein	25	67	27	12	22	8	29	2	6	92	179	84	38	20	2
ID=fig|671267.8.peg.3327;Name=FIG00410113: hypothetical protein	12	2	6	16	5	4	13	12	7	9	12	7	2	6	0
ID=fig|671267.8.peg.3328;Name=Thioredoxin	20	25	14	34	24	20	25	12	24	19	38	38	12	10	4
ID=fig|671267.8.peg.3329;Name=Transcriptional regulator%2C MarR family	21	5	10	23	9	16	22	10	16	14	34	25	14	28	2
ID=fig|671267.8.peg.3330;Name=D-alanyl-D-alanine dipeptidase	1	2	4	2	7	4	16	2	3	7	5	4	6	0	0
ID=fig|671267.8.peg.3331;Name=SAM-dependent methyltransferase	8	30	18	22	37	20	34	26	16	39	40	30	18	18	6
ID=fig|671267.8.peg.3332;Name=Sulfur acceptor protein > iron-sulfur cluster assembly SufE	51	39	18	19	16	20	31	8	6	48	57	25	16	12	10
ID=fig|671267.8.peg.3333;Name=Aminopeptidase Y (Arg%2C Lys%2C Leu preference) (EC 3.4.11.15);Ontology_term=KEGG_ENZYME:3.4.11.15	13	53	20	22	40	8	21	2	8	54	80	43	24	14	10
ID=fig|671267.8.peg.3334;Name=Dipeptidase	52	84	76	26	74	46	44	12	14	108	84	58	38	54	24
ID=fig|671267.8.peg.3335;Name=Branched-chain phosphotransacylase (EC 2.3.1.- );Ontology_term=KEGG_ENZYME:2.3.1.-	87	85	135	129	236	185	192	78	103	152	129	143	58	141	48
ID=fig|671267.8.peg.3336;Name=Branched-chain acyl kinase (EC 2.7.2.-);Ontology_term=KEGG_ENZYME:2.7.2.-	74	105	114	79	112	79	62	28	43	102	64	109	46	69	42
ID=fig|671267.8.peg.3337;Name=hypothetical protein	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0
ID=fig|671267.8.repeat.140;Name=repeat region	11	5	5	0	0	6	2	0	6	7	17	2	5	2	0
ID=fig|671267.8.peg.3338;Name=Transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3339;Name=Degenerate transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3340;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3341;Name=hypothetical protein	23	35	38	14	24	10	20	6	6	85	53	36	24	23	11
ID=fig|671267.8.peg.3342;Name=Immunoreactive 53 kDa antigen PG123	21	77	74	40	46	40	22	8	8	116	35	52	42	43	45
ID=fig|671267.8.peg.3343;Name=hypothetical protein	32	58	28	40	38	22	22	6	2	131	77	80	52	32	32
ID=fig|671267.8.peg.3344;Name=hypothetical protein	14	34	50	19	53	30	12	2	4	110	36	34	21	16	17
ID=fig|671267.8.peg.3345;Name=hypothetical protein	18	36	21	23	17	8	20	0	6	86	19	47	29	12	15
ID=fig|671267.8.peg.3346;Name=hypothetical protein	24	56	34	14	20	22	18	0	6	187	76	101	86	30	26
ID=fig|671267.8.peg.3347;Name=Transposase	66	78	47	43	68	36	62	18	24	90	108	78	46	30	32
ID=fig|671267.8.peg.3348;Name=Putative helicase	10	20	20	10	20	10	10	4	2	20	22	12	4	12	8
ID=fig|671267.8.peg.3349;Name=Transcriptional regulator%2C AraC family	32	6	3	0	6	2	4	0	2	6	4	0	0	4	2
ID=fig|671267.8.peg.3350;Name=hypothetical protein	120	274	253	62	104	72	28	70	54	226	214	181	108	92	94
ID=fig|671267.8.peg.3351;Name=Putative Nudix hydrolase YfcD	0	5	4	0	2	3	2	0	0	4	4	3	0	0	0
ID=fig|671267.8.peg.3352;Name=hypothetical protein	4	11	2	2	8	1	4	0	0	4	4	8	6	6	2
ID=fig|671267.8.peg.3353;Name=hypothetical protein	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0
ID=fig|671267.8.repeat.141;Name=repeat region	2	2	2	0	1	1	1	4	0	15	4	9	0	4	0
ID=fig|671267.8.peg.3354;Name=Transposase	9	15	21	2	16	14	10	2	2	25	34	10	6	2	5
ID=fig|671267.8.repeat.142;Name=repeat region	4	12	14	2	7	15	4	0	2	10	10	7	3	5	3
ID=fig|671267.8.peg.3355;Name=hypothetical protein	158	166	179	62	109	112	54	30	28	292	257	255	86	137	69
ID=fig|671267.8.peg.3356;Name=hypothetical protein	16	83	65	25	37	47	8	6	12	219	167	163	61	53	38
ID=fig|671267.8.peg.3357;Name=hypothetical protein	9	20	19	5	14	11	2	2	1	31	34	51	4	5	7
ID=fig|671267.8.peg.3358;Name=Bacteriocin/lantibiotic efflux ABC transporter%2C permease/ATP-binding protein	7950	2781	2672	831	880	748	484	233	356	2262	3429	2943	974	2141	569
ID=fig|671267.8.peg.3359;Name=hypothetical protein	2895	1154	478	334	222	256	136	26	209	2450	2734	2360	614	1243	732
ID=fig|671267.8.peg.3360;Name=hypothetical protein	30161	2920	877	1127	302	258	353	81	695	5665	10045	8957	1503	10586	1776
ID=fig|671267.8.peg.3361;Name=hypothetical protein	719	810	722	372	438	288	277	77	235	1656	2007	1631	487	664	449
ID=fig|671267.8.peg.3362;Name=putative two-component system%2C response regulator protein	6	4	14	4	10	6	8	2	2	14	22	16	4	1	2
ID=fig|671267.8.peg.3363;Name=hypothetical protein	2	0	2	0	6	0	0	0	0	4	2	2	0	0	4
ID=fig|671267.8.peg.3364;Name=hypothetical protein	30	8	6	6	7	8	6	2	6	17	39	52	6	9	8
ID=fig|671267.8.peg.3365;Name=hypothetical protein	141	187	207	75	85	53	68	35	84	213	584	1210	32	127	39
ID=fig|671267.8.peg.3366;Name=hypothetical protein	428	145	28	90	38	39	37	2	42	362	278	214	77	112	42
ID=fig|671267.8.peg.3367;Name=hypothetical protein	541	584	294	269	236	212	190	34	103	1031	1195	894	355	276	190
ID=fig|671267.8.repeat.143;Name=repeat region	32	47	31	13	23	19	13	0	4	104	59	46	23	15	12
ID=fig|671267.8.peg.3368;Name=hypothetical protein	214	216	219	84	125	131	119	24	64	246	333	235	158	173	86
ID=fig|671267.8.peg.3369;Name=putative membrane protein	48	57	63	33	66	26	44	20	12	108	131	111	46	51	33
ID=fig|671267.8.peg.3370;Name=Transcriptional regulator%2C AsnC family	93	246	212	121	182	113	125	50	72	395	488	375	134	195	121
ID=fig|671267.8.peg.3371;Name=hypothetical protein	0	0	0	0	0	1	0	0	0	2	4	0	3	1	0
ID=fig|671267.8.peg.3372;Name=hypothetical protein	4	12	15	2	29	20	8	6	6	33	41	34	19	4	1
ID=fig|671267.8.peg.3373;Name=Hemolysins and related proteins containing CBS domains	12	48	39	44	67	38	40	18	12	113	138	102	44	31	20
ID=fig|671267.8.peg.3374;Name=Nudix hydrolase family protein	46	34	22	24	35	9	9	12	22	20	37	12	6	6	4
ID=fig|671267.8.peg.3375;Name=TPR-domain-containing protein	200	287	226	259	511	195	260	97	184	194	323	176	94	102	98
ID=fig|671267.8.peg.3376;Name=Putative TonB-dependent receptor	124	169	120	175	264	94	103	39	101	154	227	103	64	82	78
ID=fig|671267.8.peg.3377;Name=DNA topoisomerase I (EC 5.99.1.2);Ontology_term=KEGG_ENZYME:5.99.1.2	52	57	67	81	166	44	125	16	28	119	197	98	72	50	24
ID=fig|671267.8.peg.3378;Name=Shikimate kinase I (EC 2.7.1.71);Ontology_term=KEGG_ENZYME:2.7.1.71	26	11	3	10	19	8	36	2	0	32	37	34	8	4	2
ID=fig|671267.8.peg.3379;Name=Biosynthetic arginine decarboxylase (EC 4.1.1.19);Ontology_term=KEGG_ENZYME:4.1.1.19	71	72	30	46	157	31	60	6	14	69	80	52	44	42	21
ID=fig|671267.8.peg.3380;Name=Acetylglutamate kinase (EC 2.7.2.8);Ontology_term=KEGG_ENZYME:2.7.2.8	22	10	20	17	57	11	48	2	4	48	59	22	12	22	9
ID=fig|671267.8.peg.3381;Name=RNA polymerase ECF-type sigma factor	49	98	108	89	201	38	174	29	36	116	346	209	56	74	22
ID=fig|671267.8.peg.3382;Name=hypothetical protein	200	153	82	95	141	44	130	51	46	172	309	175	116	76	12
ID=fig|671267.8.peg.3383;Name=hypothetical protein	50	666	222	82	106	66	215	174	392	427	1024	676	24	292	40
ID=fig|671267.8.peg.3384;Name=Zinc metalloprotease	10	16	4	10	26	6	8	0	0	10	18	20	11	2	4
ID=fig|671267.8.peg.3385;Name=Acetyl xylan esterase 1%3B Cephalosporin-C deacetylase (EC 3.1.1.41);Ontology_term=KEGG_ENZYME:3.1.1.41	20	52	36	7	26	21	18	0	2	118	92	48	54	27	22
ID=fig|671267.8.peg.3386;Name=hypothetical protein	1466	738	628	205	242	211	173	130	172	554	850	760	267	1055	256
ID=fig|671267.8.peg.3387;Name=hypothetical protein	68	152	135	60	124	90	122	16	62	190	225	128	92	106	82
ID=fig|671267.8.peg.3388;Name=hypothetical protein	2	0	1	4	4	1	3	0	0	2	0	6	4	0	1
ID=fig|671267.8.repeat.144;Name=repeat region	4	0	4	0	0	1	3	0	0	0	2	0	0	4	1
ID=fig|671267.8.peg.3389;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3390;Name=Protein AraJ precursor	19	21	14	4	60	4	36	8	8	42	71	33	20	8	6
ID=fig|671267.8.peg.3391;Name=hypothetical protein	21	13	6	12	47	8	14	0	2	16	23	15	4	4	8
ID=fig|671267.8.peg.3392;Name=Bacterial ribosome SSU maturation protein RimP	24	13	12	4	38	4	21	4	12	30	84	60	12	18	6
ID=fig|671267.8.peg.3393;Name=Transcription termination protein NusA	224	143	108	102	292	75	195	20	58	204	372	182	108	112	75
ID=fig|671267.8.peg.3394;Name=Translation initiation factor 2	231	439	338	394	1047	307	591	90	136	603	1041	546	278	259	199
ID=fig|671267.8.peg.3395;Name=Colicin V production protein	19	10	14	2	23	2	6	0	4	9	36	26	6	10	2
ID=fig|671267.8.peg.3396;Name=Iron-sulfur cluster assembly protein SufB	36	48	60	54	156	54	117	24	8	80	194	86	40	27	30
ID=fig|671267.8.peg.3397;Name=Iron-sulfur cluster assembly ATPase protein SufC	8	34	24	42	51	26	51	11	10	33	106	36	20	26	15
ID=fig|671267.8.peg.3398;Name=Iron-sulfur cluster assembly protein SufD	36	53	66	64	159	76	127	29	20	112	164	77	38	46	35
ID=fig|671267.8.peg.3399;Name=Cysteine desulfurase (EC 2.8.1.7) > SufS;Ontology_term=KEGG_ENZYME:2.8.1.7	70	227	184	137	228	132	261	50	86	152	307	173	123	115	94
ID=fig|671267.8.peg.3400;Name=Putative isomerase	9	22	18	6	25	12	30	2	0	22	42	26	24	12	2
ID=fig|671267.8.peg.3401;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	9	22	16	12	14	18	12	4	4	40	28	20	36	18	8
ID=fig|671267.8.peg.3402;Name=Putative surface protein	6	7	2	4	2	8	4	0	0	8	20	6	10	0	4
ID=fig|671267.8.peg.3403;Name=hypothetical protein	4	1	0	2	0	2	0	0	0	7	10	8	8	6	0
ID=fig|671267.8.peg.3404;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	6	16	0	2	2	0	0	0	0	11	14	10	6	4	2
ID=fig|671267.8.peg.3405;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	8	14	4	0	4	0	0	0	0	28	17	10	18	2	2
ID=fig|671267.8.peg.3406;Name=hypothetical protein	12	16	16	2	16	12	18	4	4	44	40	42	10	10	4
ID=fig|671267.8.peg.3407;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3408;Name=Ribonuclease HII (EC 3.1.26.4);Ontology_term=KEGG_ENZYME:3.1.26.4	14	42	43	16	30	16	16	12	15	34	29	16	27	14	10
ID=fig|671267.8.peg.3409;Name=Fucose permease	67	205	160	84	266	151	141	28	24	367	202	223	171	110	83
ID=fig|671267.8.peg.3410;Name=L-fucose isomerase (EC 5.3.1.25) @ D-Arabinose ketol-isomerase (EC 5.3.1.3);Ontology_term=KEGG_ENZYME:5.3.1.25,KEGG_ENZYME:5.3.1.3	178	464	502	285	698	389	441	144	94	923	648	706	370	336	207
ID=fig|671267.8.peg.3411;Name=Transcriptional regulator of fucose utilization%2C GntR family	22	16	8	13	56	12	22	0	4	60	52	34	34	24	10
ID=fig|671267.8.peg.3412;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3413;Name=hypothetical protein	20	14	30	14	37	10	26	6	16	16	38	24	4	22	10
ID=fig|671267.8.peg.3414;Name=2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12);Ontology_term=KEGG_ENZYME:5.4.2.12	163	198	104	107	324	82	194	20	56	237	260	104	114	62	42
ID=fig|671267.8.peg.3415;Name=hypothetical protein	14	0	0	7	9	4	6	0	0	17	20	6	6	4	8
ID=fig|671267.8.peg.3416;Name=hypothetical protein	2	2	2	4	13	0	16	0	0	4	10	0	2	0	2
ID=fig|671267.8.peg.3417;Name=hypothetical protein	50	64	34	34	58	34	43	16	18	56	67	71	37	39	10
ID=fig|671267.8.peg.3418;Name=FIG00404779: hypothetical protein	44	74	52	22	28	40	29	13	10	67	74	46	24	43	17
ID=fig|671267.8.peg.3419;Name=1%2C4-alpha-glucan branching enzyme (EC 2.4.1.18);Ontology_term=KEGG_ENZYME:2.4.1.18	34	64	92	12	16	24	24	2	2	121	78	127	28	46	17
ID=fig|671267.8.peg.3420;Name=hypothetical protein	18	72	73	4	14	4	3	0	0	104	90	110	17	37	0
ID=fig|671267.8.peg.3421;Name=hypothetical protein	6	46	37	0	2	4	5	0	8	72	52	71	11	27	2
ID=fig|671267.8.peg.3422;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	14	78	50	10	4	6	2	0	14	118	84	100	24	16	4
ID=fig|671267.8.peg.3423;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	60	153	150	8	4	20	6	2	12	288	168	235	28	67	8
ID=fig|671267.8.peg.3424;Name=hypothetical protein	6	4	0	0	0	0	0	0	0	10	6	13	0	4	0
ID=fig|671267.8.peg.3425;Name=Glucan 1%2C4-alpha-glucosidase (EC 3.2.1.3);Ontology_term=KEGG_ENZYME:3.2.1.3	6	41	55	4	2	4	4	0	0	101	84	58	8	14	0
ID=fig|671267.8.peg.3426;Name=Alpha-amylase (Neopullulanase) SusA (EC 3.2.1.135);Ontology_term=KEGG_ENZYME:3.2.1.135	4	25	15	0	0	0	0	0	2	37	24	6	4	4	0
ID=fig|671267.8.peg.3427;Name=Regulatory protein SusR	68	30	45	36	31	40	38	6	52	43	86	49	25	35	20
ID=fig|671267.8.peg.3428;Name=Uncharacterized MFS-type transporter	6	14	21	2	6	8	9	0	0	13	13	17	12	6	2
ID=fig|671267.8.peg.3429;Name=Uncharacterized MFS-type transporter	0	18	12	18	14	10	11	2	2	45	31	33	17	15	6
ID=fig|671267.8.peg.3430;Name=4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25);Ontology_term=KEGG_ENZYME:2.4.1.25	16	112	78	49	48	28	40	8	24	152	192	85	59	64	24
ID=fig|671267.8.peg.3431;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3432;Name=hypothetical protein	2	0	4	0	4	2	4	0	0	2	3	0	0	0	0
ID=fig|671267.8.peg.3433;Name=hypothetical protein	130	132	58	48	59	72	52	16	58	97	157	106	70	87	46
ID=fig|671267.8.peg.3434;Name=DNA gyrase subunit B (EC 5.99.1.3);Ontology_term=KEGG_ENZYME:5.99.1.3	490	547	520	214	546	296	378	114	106	583	620	518	311	333	212
ID=fig|671267.8.peg.3435;Name=hypothetical protein	4	0	0	2	8	2	0	0	0	1	3	0	0	3	1
ID=fig|671267.8.peg.3436;Name=SSU ribosomal protein S20p	906	174	114	192	536	72	384	18	82	168	345	160	113	121	75
ID=fig|671267.8.peg.3437;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID=fig|671267.8.peg.3438;Name=DNA recombination and repair protein RecO	16	16	18	11	15	10	12	4	2	6	14	4	12	9	0
ID=fig|671267.8.peg.3439;Name=Transamidase GatB domain protein	119	251	251	36	80	122	50	36	26	245	180	211	111	120	70
ID=fig|671267.8.peg.3440;Name=Cell division protein FtsZ	35	93	105	32	62	36	40	2	6	145	188	154	65	26	32
ID=fig|671267.8.peg.3441;Name=Cell division protein FtsA	40	105	62	26	51	56	34	12	14	171	156	140	79	38	46
ID=fig|671267.8.peg.3442;Name=Cell division protein FtsQ	10	33	32	20	41	18	16	6	6	66	24	37	13	6	8
ID=fig|671267.8.peg.3443;Name=UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8);Ontology_term=KEGG_ENZYME:6.3.2.8	7	70	39	36	65	38	50	8	14	79	76	65	52	34	28
ID=fig|671267.8.peg.3444;Name=UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227);Ontology_term=KEGG_ENZYME:2.4.1.227	16	51	54	20	45	28	38	8	6	61	84	71	22	12	8
ID=fig|671267.8.peg.3445;Name=Cell division protein FtsW	24	55	54	35	50	63	58	6	13	81	114	87	56	48	22
ID=fig|671267.8.peg.3446;Name=UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9);Ontology_term=KEGG_ENZYME:6.3.2.9	39	96	92	35	38	49	45	8	17	109	132	127	48	60	39
ID=fig|671267.8.peg.3447;Name=Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13);Ontology_term=KEGG_ENZYME:2.7.8.13	57	105	92	24	72	46	53	6	20	156	124	130	94	55	38
ID=fig|671267.8.peg.3448;Name=UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6-diaminopimelate ligase (EC 6.3.2.13);Ontology_term=KEGG_ENZYME:6.3.2.13	28	76	76	34	73	56	36	12	14	109	92	122	38	47	27
ID=fig|671267.8.peg.3449;Name=Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129);Ontology_term=KEGG_ENZYME:2.4.1.129	64	106	102	54	123	82	78	30	22	153	157	128	70	76	38
ID=fig|671267.8.peg.3450;Name=Cell division protein FtsL	4	8	6	5	6	9	8	0	6	27	20	19	10	8	10
ID=fig|671267.8.peg.3451;Name=16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199);Ontology_term=KEGG_ENZYME:2.1.1.199	17	40	52	19	22	19	26	6	7	63	126	66	38	40	18
ID=fig|671267.8.peg.3452;Name=Cell division protein MraZ	65	35	32	16	26	18	30	4	3	61	67	42	24	30	2
ID=fig|671267.8.repeat.145;Name=repeat region	2	2	2	0	3	0	0	2	2	2	0	0	0	0	2
ID=fig|671267.8.peg.3453;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3454;Name=hypothetical protein	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3455;Name=Hemolysin A	83	80	62	52	91	26	44	10	21	103	174	138	74	44	45
ID=fig|671267.8.peg.3456;Name=Hemolysin A	162	148	106	35	117	56	48	20	43	138	333	232	56	91	67
ID=fig|671267.8.peg.3457;Name=dNTP triphosphohydrolase%2C broad substrate specificity%2C subgroup 3	39	70	38	45	95	34	60	10	20	71	91	84	44	29	28
ID=fig|671267.8.peg.3458;Name=Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23);Ontology_term=KEGG_ENZYME:3.6.1.23	32	28	26	8	40	8	48	4	10	39	28	60	14	12	16
ID=fig|671267.8.peg.3459;Name=TPR domain protein	77	150	96	115	180	100	175	38	86	157	236	160	75	84	55
ID=fig|671267.8.peg.3460;Name=hypothetical protein	38	45	71	48	85	80	103	26	40	82	100	80	72	26	36
ID=fig|671267.8.peg.3461;Name=Murein hydrolase activator EnvC	38	55	41	52	84	64	111	6	24	92	112	60	48	20	14
ID=fig|671267.8.peg.3462;Name=RNA-binding protein	186	44	80	32	186	70	57	12	20	146	369	269	56	86	42
ID=fig|671267.8.peg.3463;Name=hypothetical protein	0	0	4	2	2	0	0	0	0	2	0	0	2	2	2
ID=fig|671267.8.repeat.146;Name=repeat region	7	6	9	10	23	6	20	1	2	21	19	20	15	6	0
ID=fig|671267.8.peg.3464;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3465;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3466;Name=Transcriptional regulator%2C AraC family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3467;Name=hypothetical protein	190	166	60	60	78	82	34	6	6	285	158	214	168	80	50
ID=fig|671267.8.peg.3468;Name=Putative preQ0 transporter	8	8	0	0	1	0	0	0	0	6	4	6	6	0	2
ID=fig|671267.8.peg.3469;Name=Putative preQ0 transporter YhhQ	2	2	2	2	0	0	2	0	0	6	2	4	2	0	0
ID=fig|671267.8.peg.3470;Name=hypothetical protein	2	2	0	0	0	0	0	0	0	0	2	0	2	0	0
ID=fig|671267.8.peg.3471;Name=O-methyltransferase%2C family 2	0	0	2	2	0	4	2	0	0	8	0	2	4	0	4
ID=fig|671267.8.peg.3472;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0
ID=fig|671267.8.peg.3473;Name=hypothetical protein	4	18	8	6	26	6	4	6	6	14	6	12	12	12	4
ID=fig|671267.8.peg.3474;Name=hypothetical protein	0	0	5	2	0	0	4	1	2	8	0	4	4	0	4
ID=fig|671267.8.peg.3475;Name=hypothetical protein	69	220	172	165	231	132	166	39	101	187	363	234	138	185	130
ID=fig|671267.8.repeat.147;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3476;Name=(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3);Ontology_term=KEGG_ENZYME:1.17.7.3	23	136	92	44	120	74	79	30	34	132	177	104	102	70	43
ID=fig|671267.8.peg.3477;Name=N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18);Ontology_term=KEGG_ENZYME:5.4.99.18	23	101	77	26	64	51	41	25	17	114	106	100	43	54	20
ID=fig|671267.8.peg.3478;Name=Glycine cleavage system H protein	344	382	369	94	89	113	85	15	43	541	555	523	370	210	131
ID=fig|671267.8.peg.3479;Name=hypothetical protein	4	10	6	6	19	4	3	2	2	24	17	10	12	4	0
ID=fig|671267.8.peg.3480;Name=RNA polymerase sigma-54 factor RpoN	26	33	20	20	51	24	34	8	10	64	101	40	38	12	14
ID=fig|671267.8.peg.3481;Name=Xaa-Pro aminopeptidase (EC 3.4.11.9);Ontology_term=KEGG_ENZYME:3.4.11.9	41	70	46	27	22	14	31	0	18	52	117	86	16	22	14
ID=fig|671267.8.peg.3482;Name=Pyruvate formate-lyase activating enzyme (EC 1.97.1.4);Ontology_term=KEGG_ENZYME:1.97.1.4	124	143	126	55	68	66	51	32	34	149	152	125	72	70	43
