PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.2790;Name=Arginine pathway regulatory protein ArgR%2C repressor of arg regulon	2	2	10	2	18	8	6	2	2	15	32	8	14	0	0
ID=fig|823.92.peg.2791;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2792;Name=Zn-dependent protease with chaperone function	24	28	73	48	68	50	76	52	28	45	49	58	36	34	12
ID=fig|823.92.peg.2793;Name=MutS-related protein%2C family 1	20	10	19	16	32	17	40	12	12	33	49	6	20	14	6
ID=fig|823.92.peg.2794;Name=Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) @ Outer membrane phospholipase A;Ontology_term=KEGG_ENZYME:3.1.1.32,KEGG_ENZYME:3.1.1.4	9	6	4	7	8	4	16	2	9	8	19	6	2	8	0
ID=fig|823.92.peg.2795;Name=Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)%3B Propionyl-CoA carboxylase beta chain (EC 6.4.1.3);Ontology_term=KEGG_ENZYME:6.4.1.2,KEGG_ENZYME	140	146	146	306	299	308	354	251	317	447	217	306	119	176	38
ID=fig|823.92.peg.2796;Name=Propionyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.3);Ontology_term=KEGG_ENZYME:6.4.1.3	94	161	225	298	337	340	423	352	414	331	227	342	88	137	54
ID=fig|823.92.peg.2797;Name=Biotin carboxyl carrier protein of acetyl-CoA carboxylase%3B Biotin carboxyl carrier protein	830	349	383	332	374	340	576	374	781	339	446	813	139	601	178
ID=fig|823.92.peg.2798;Name=Na+/H+ antiporter NhaD type	28	51	77	75	66	100	101	79	81	83	132	119	52	46	18
ID=fig|823.92.peg.2799;Name=FIG00899285: hypothetical protein	84	45	74	58	77	54	57	57	53	92	47	87	55	70	30
ID=fig|823.92.peg.2800;Name=N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126);Ontology_term=KEGG_ENZYME:4.2.1.126	21	24	35	24	40	33	31	28	24	44	23	51	15	22	2
ID=fig|823.92.peg.2801;Name=Mg(2+)-transport-ATPase-associated protein MgtC	11	26	34	30	18	29	19	18	8	35	29	29	23	8	5
ID=fig|823.92.peg.2802;Name=FIG00898544: hypothetical protein	103	91	94	43	72	50	70	23	41	88	81	87	68	77	37
ID=fig|823.92.peg.2803;Name=G:T/U mismatch-specific uracil/thymine DNA-glycosylase (EC 3.2.2.27);Ontology_term=KEGG_ENZYME:3.2.2.27	56	58	38	44	47	18	57	28	14	50	44	49	56	40	14
ID=fig|823.92.peg.2804;Name=hypothetical protein	455	341	207	71	35	117	96	21	108	429	547	562	338	269	288
ID=fig|823.92.peg.2805;Name=hypothetical protein	269	618	692	270	385	747	352	273	402	1078	832	1146	603	447	518
ID=fig|823.92.peg.2806;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	134	680	858	329	368	979	447	311	326	1239	936	1172	663	371	463
ID=fig|823.92.peg.2807;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	404	1226	1424	781	871	1601	1044	419	644	3278	2662	3018	1823	879	1234
ID=fig|823.92.peg.2808;Name=Integrase > IntDOT	0	4	2	0	2	4	2	4	4	0	4	0	4	0	2
ID=fig|823.92.peg.2809;Name=FIG00417797: hypothetical protein	8	0	0	0	2	0	0	0	2	0	2	2	0	0	2
ID=fig|823.92.peg.2810;Name=FIG00407580: hypothetical protein	25	15	45	12	14	40	24	18	35	28	18	34	14	12	2
ID=fig|823.92.peg.2811;Name=FIG00938698: hypothetical protein	5	15	17	8	18	22	26	22	9	22	10	26	4	4	4
ID=fig|823.92.peg.2812;Name=FIG00936922: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.49;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2813;Name=FIG00938987: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2814;Name=FIG00937566: hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2815;Name=DNA topoisomerase III%2C Bacteroidales-type (EC 5.99.1.2);Ontology_term=KEGG_ENZYME:5.99.1.2	0	0	2	0	2	0	0	2	2	0	0	0	0	2	0
ID=fig|823.92.peg.2816;Name=FIG00936811: hypothetical protein	2	3	8	4	2	0	2	2	0	0	2	8	1	2	0
ID=fig|823.92.peg.2817;Name=Putative DNA methylase	0	1	0	0	6	0	2	2	0	2	0	0	1	0	0
ID=fig|823.92.repeat.50;Name=repeat region	1	3	2	2	5	0	2	6	3	0	0	4	0	0	2
ID=fig|823.92.peg.2818;Name=Integrase/recombinase%2C RitC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2819;Name=putative integrase/recombinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2820;Name=putative integrase/recombinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2821;Name=probable integrase/recombinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2822;Name=Putative DNA methylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2823;Name=Retron-type RNA-directed DNA polymerase (EC 2.7.7.49);Ontology_term=KEGG_ENZYME:2.7.7.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2824;Name=Putative DNA methylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2825;Name=Tetracycline resistance%2C ribosomal protection type > Tet(Q)	49	14	18	20	46	14	32	6	6	40	32	36	22	24	8
ID=fig|823.92.peg.2826;Name=CTnDOT two-component system sensor histidine kinase RteA	4	0	2	2	6	4	10	0	0	4	2	2	0	2	4
ID=fig|823.92.peg.2827;Name=CTnDOT two-component system response regulator and RteC activator%2C RteB	2	4	4	6	6	2	4	2	2	4	6	4	2	2	0
ID=fig|823.92.peg.2828;Name=Bifunctional deaminase-reductase domain protein	6	7	4	0	8	4	2	2	2	10	9	10	12	17	6
ID=fig|823.92.peg.2829;Name=CTnDOT excision operon activator RteC	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2830;Name=Prokaryotic ATPase	14	20	36	10	31	20	20	22	8	42	36	66	36	40	4
ID=fig|823.92.peg.2831;Name=FIG00404088: hypothetical protein	22	28	24	18	27	22	34	8	36	48	76	61	54	16	24
ID=fig|823.92.peg.2832;Name=Putative mobilization protein BF0133	2	4	2	2	12	6	8	4	4	4	4	7	10	8	0
ID=fig|823.92.peg.2833;Name=Putative conjugative transposon mobilization protein BF0132	0	0	2	0	0	0	0	0	0	0	10	0	2	4	0
ID=fig|823.92.peg.2834;Name=hypothetical protein clusted with conjugative transposons%2C BF0131	2	0	2	2	2	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.2835;Name=FIG00896613: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2836;Name=Conjugative transposon protein TraA	32	16	38	20	18	38	36	16	22	30	10	18	4	32	2
ID=fig|823.92.peg.2837;Name=Conjugative transposon protein TraB	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2838;Name=Conjugative transposon protein TraC	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0
ID=fig|823.92.peg.2839;Name=Conjugative transposon protein TraD	2	4	11	4	16	8	4	2	4	18	6	6	0	2	0
ID=fig|823.92.peg.2840;Name=Conjugative transposon protein TraE	0	14	5	9	4	8	9	2	17	10	7	17	0	0	0
ID=fig|823.92.peg.2841;Name=Conjugative transposon protein TraF	10	10	46	17	24	18	22	19	26	12	6	32	2	16	0
ID=fig|823.92.peg.2842;Name=Conjugative transposon protein TraG	10	20	38	41	36	30	24	31	40	22	20	34	2	12	2
ID=fig|823.92.peg.2843;Name=Transposase	0	10	12	18	14	14	22	8	15	10	8	12	8	18	2
ID=fig|823.92.peg.2844;Name=hypothetical protein	0	2	2	4	4	0	2	2	5	2	4	0	0	4	0
ID=fig|823.92.peg.2845;Name=putative excisionase	39	51	99	70	143	123	75	97	88	97	37	60	11	77	0
ID=fig|823.92.peg.2846;Name=FIG00898246: hypothetical protein	223	369	488	346	655	399	507	339	660	428	343	436	54	332	36
ID=fig|823.92.peg.2847;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	5	23	27	35	50	46	29	29	40	42	32	35	2	34	8
ID=fig|823.92.peg.2848;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	221	120	159	149	251	194	184	128	296	153	117	175	22	188	22
ID=fig|823.92.peg.2849;Name=Mobilization protein BmgB	68	47	67	54	46	29	35	38	38	71	42	48	8	41	2
ID=fig|823.92.peg.2850;Name=Mobilization protein BmgA	53	38	85	68	105	85	79	45	82	88	58	75	10	56	8
ID=fig|823.92.peg.2851;Name=FIG00898428: hypothetical protein	75	42	46	16	65	28	42	25	38	63	59	66	6	69	2
ID=fig|823.92.peg.2852;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.2853;Name=hypothetical protein	8	0	0	4	0	0	4	2	1	8	0	4	4	2	0
ID=fig|823.92.peg.2854;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	32	12	10	4	18	2	18	2	22	24	18	8	4	4	6
ID=fig|823.92.peg.2855;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2856;Name=Conjugative transposon protein TraG	10	18	20	8	22	13	16	6	18	16	12	22	0	10	0
ID=fig|823.92.peg.2857;Name=Conjugative transposon protein TraH	7	4	6	6	4	6	3	6	4	6	10	22	0	6	2
ID=fig|823.92.peg.2858;Name=Conjugative transposon protein TraI	4	16	11	10	16	26	12	12	18	14	7	0	0	10	0
ID=fig|823.92.peg.2859;Name=Conjugative transposon protein TraJ	4	8	31	30	20	40	18	8	20	24	12	8	0	12	0
ID=fig|823.92.peg.2860;Name=Conjugative transposon protein TraK	20	7	28	8	24	12	8	6	12	10	12	18	0	8	0
ID=fig|823.92.peg.2861;Name=Conjugative transposon protein TraL	0	5	4	2	2	4	2	6	6	9	3	11	0	8	0
ID=fig|823.92.peg.2862;Name=Conjugative transposon protein TraM	12	18	28	20	40	36	18	28	26	58	29	51	0	24	0
ID=fig|823.92.peg.2863;Name=Conjugative transposon protein TraN	20	17	32	12	18	21	18	19	16	22	24	23	2	14	0
ID=fig|823.92.peg.2864;Name=Conjugative transposon protein TraO	5	12	22	2	14	19	2	7	18	21	6	17	0	4	0
ID=fig|823.92.peg.2865;Name=Conjugative transposon protein TraP @ DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	3	9	24	8	10	20	7	6	14	14	8	37	0	10	0
ID=fig|823.92.peg.2866;Name=Conjugative transposon protein TraQ	8	4	16	4	2	12	8	8	12	17	9	23	2	10	0
ID=fig|823.92.peg.2867;Name=Lysozyme (EC 3.2.1.17);Ontology_term=KEGG_ENZYME:3.2.1.17	2	4	21	12	6	6	7	2	2	9	11	24	0	8	0
ID=fig|823.92.peg.2868;Name=FIG00407972: hypothetical protein	976	66	21	36	6	10	30	11	104	108	283	156	98	158	66
ID=fig|823.92.peg.2869;Name=FIG00898899: hypothetical protein	0	2	1	0	0	0	2	1	2	2	6	2	0	0	0
ID=fig|823.92.repeat.51;Name=repeat region	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0
ID=fig|823.92.peg.2870;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2871;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2872;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2873;Name=Integrase/recombinase%2C RitC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2874;Name=FIG00897394: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2875;Name=FIG00404869: hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2876;Name=FIG00938992: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2877;Name=FIG00897206: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2878;Name=FIG00899057: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2879;Name=FIG00896355: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2880;Name=FIG00408583: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2881;Name=hypothetical protein	2	0	1	0	0	0	0	2	0	0	6	2	0	0	0
ID=fig|823.92.peg.2882;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2883;Name=Transcriptional regulator of various polyols utilization%2C AraC family	17	10	28	4	14	9	16	2	7	31	30	21	39	15	12
ID=fig|823.92.peg.2884;Name=alpha-galactosidase (EC 3.2.1.22);Ontology_term=KEGG_ENZYME:3.2.1.22	15	26	15	18	39	6	28	10	25	79	94	58	57	20	14
ID=fig|823.92.peg.2885;Name=Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain;Ontology_term=KEGG_ENZYME:1.1.1.205	38	78	71	54	123	70	132	26	30	132	108	44	134	30	24
ID=fig|823.92.peg.2886;Name=Pirin	36	29	36	36	62	51	54	32	54	54	63	84	18	32	2
ID=fig|823.92.peg.2887;Name=Peptidase M64	12	21	34	18	42	27	36	12	24	31	68	58	44	22	20
ID=fig|823.92.peg.2888;Name=Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5);Ontology_term=KEGG_ENZYME:1.4.3.5	22	10	4	4	8	6	10	0	4	10	12	4	20	4	2
ID=fig|823.92.peg.2889;Name=Alkyl hydroperoxide reductase subunit C-like protein	82	118	154	204	364	242	628	202	414	90	236	150	60	162	52
ID=fig|823.92.peg.2890;Name=Two-component system sensor histidine kinase	6	30	20	32	46	20	44	20	28	14	82	30	28	42	4
ID=fig|823.92.peg.2891;Name=Glycine betaine ABC transport system%2C ATP-binding protein OpuAA (EC 3.6.3.32);Ontology_term=KEGG_ENZYME:3.6.3.32	14	4	6	2	6	6	16	4	6	22	8	10	2	8	2
ID=fig|823.92.peg.2892;Name=Glycine betaine ABC transport system%2C permease protein OpuAB	0	0	0	6	6	4	14	4	8	2	6	4	2	2	2
ID=fig|823.92.peg.2893;Name=Glycine betaine ABC transport system%2C glycine betaine-binding protein OpuAC	10	4	4	9	6	8	17	8	8	10	14	6	4	6	0
ID=fig|823.92.peg.2894;Name=FIG00897042: hypothetical protein	14	8	8	30	14	16	33	8	25	24	40	26	23	16	12
ID=fig|823.92.peg.2895;Name=Ferritin-like protein 2	184	79	110	95	122	86	279	104	158	102	173	172	69	108	22
ID=fig|823.92.peg.2896;Name=Small heat shock protein	382	89	67	52	48	54	257	40	80	50	199	64	120	130	54
ID=fig|823.92.peg.2897;Name=Putative ADP-ribose pyrophosphatase YjhB	4	12	10	4	10	15	14	4	12	15	12	19	6	12	10
ID=fig|823.92.peg.2898;Name=L-fucose mutarotase%2C type 2 (EC 5.1.3.29);Ontology_term=KEGG_ENZYME:5.1.3.29	2	6	10	6	10	5	7	8	2	20	6	10	12	6	4
ID=fig|823.92.peg.2899;Name=Fucose permease	12	14	34	12	23	12	27	8	12	17	24	30	12	22	10
ID=fig|823.92.peg.2900;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ID=fig|823.92.peg.2901;Name=FIG00896580: hypothetical protein	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1
ID=fig|823.92.peg.2902;Name=FIG00896791: hypothetical protein	19	8	6	6	9	10	14	6	7	22	16	9	22	6	17
ID=fig|823.92.peg.2903;Name=OmpA domain protein	67	58	36	48	69	46	108	48	47	60	98	63	66	40	6
ID=fig|823.92.peg.2904;Name=Cytochrome c nitrite reductase%2C small subunit NrfH	0	0	2	6	15	6	20	2	12	0	3	2	2	6	2
ID=fig|823.92.peg.2905;Name=Cytochrome c552 precursor (EC 1.7.2.2);Ontology_term=KEGG_ENZYME:1.7.2.2	4	10	10	18	45	32	36	33	17	10	21	16	36	5	16
ID=fig|823.92.peg.2906;Name=FIG00896358: hypothetical protein	0	2	12	12	20	14	12	15	2	2	0	6	22	5	12
ID=fig|823.92.peg.2907;Name=Cytochrome c biogenesis protein ccsA	0	0	2	0	4	4	2	0	2	2	2	0	0	0	2
ID=fig|823.92.peg.2908;Name=FIG00897187: hypothetical protein	4	6	2	14	6	8	6	4	9	3	10	6	16	4	3
ID=fig|823.92.peg.2909;Name=Hcp transcriptional regulator HcpR (Crp/Fnr family)	259	22	14	18	16	10	28	10	21	35	42	67	50	46	29
ID=fig|823.92.peg.2910;Name=Response regulator of zinc sigma-54-dependent two-component system	4	16	4	20	20	8	18	4	12	16	34	41	32	10	6
ID=fig|823.92.peg.2911;Name=Two-component system sensor histidine kinase FrrD	5	8	12	19	36	27	22	2	12	24	23	24	22	5	12
ID=fig|823.92.peg.2912;Name=FIG00897805: hypothetical protein	25	38	32	43	90	90	118	78	48	41	45	59	46	34	28
ID=fig|823.92.peg.2913;Name=hypothetical protein	569	184	245	196	229	210	421	135	301	176	390	328	138	357	34
ID=fig|823.92.peg.2914;Name=Large-conductance mechanosensitive channel	69	88	84	95	63	51	86	51	44	155	96	155	86	60	16
ID=fig|823.92.peg.2915;Name=Outer membrane lipoprotein Blc	6	0	8	10	2	0	4	0	0	8	12	6	0	20	0
ID=fig|823.92.repeat.52;Name=repeat region	0	2	0	4	1	0	1	0	0	4	0	5	0	0	2
ID=fig|823.92.peg.2916;Name=Tyrosine type site-specific recombinase%2C probable regulator for PS locus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2917;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0
ID=fig|823.92.peg.2918;Name=Hypothetical protein clustered with UpdY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2919;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2920;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2921;Name=hypothetical protein	2	0	0	2	4	0	4	0	0	2	0	2	2	2	0
ID=fig|823.92.peg.2922;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2923;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2924;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2925;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2926;Name=Polysaccharide biosynthesis protein	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2927;Name=Beta-1%2C3-glucosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2928;Name=UDP-glucose 4-epimerase (EC 5.1.3.2);Ontology_term=KEGG_ENZYME:5.1.3.2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.2929;Name=D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase (EC 3.1.3.82);Ontology_term=KEGG_ENZYME:3.1.3.82	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2930;Name=D%2CD-heptose 7-phosphate kinase	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2931;Name=Phosphoheptose isomerase (EC 5.3.1.-);Ontology_term=KEGG_ENZYME:5.3.1.-	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2932;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.2933;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2934;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2935;Name=Sorbitol dehydrogenase (EC 1.1.1.14);Ontology_term=KEGG_ENZYME:1.1.1.14	2	2	0	0	6	0	2	0	4	4	4	0	2	0	0
ID=fig|823.92.peg.2936;Name=Heparinase II/III-like	0	0	0	0	4	0	0	0	2	0	0	2	2	2	0
ID=fig|823.92.repeat.53;Name=repeat region	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.2937;Name=UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336);Ontology_term=KEGG_ENZYME:1.1.1.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2938;Name=UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14);Ontology_term=KEGG_ENZYME:5.1.3.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2939;Name=Probable glycosyl transferase (EC 2.4.-.-);Ontology_term=KEGG_ENZYME:2.4.-.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2940;Name=Probable glycosyl transferase (EC 2.4.-.-);Ontology_term=KEGG_ENZYME:2.4.-.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2941;Name=UDP-glucose 4-epimerase (EC 5.1.3.2);Ontology_term=KEGG_ENZYME:5.1.3.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2942;Name=Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33);Ontology_term=KEGG_ENZYME:2.7.8.33	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0
ID=fig|823.92.repeat.54;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2943;Name=UDP-N-acetylglucosamine 4%2C6-dehydratase (EC 4.2.1.135);Ontology_term=KEGG_ENZYME:4.2.1.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2944;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2945;Name=FIG00898829: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.2946;Name=DNA-binding protein%2C histone-like family	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0
ID=fig|823.92.peg.2947;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2948;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.2949;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.55;Name=repeat region	34	26	20	26	36	16	23	16	4	49	77	74	26	24	6
ID=fig|823.92.peg.2950;Name=FIG00938717: hypothetical protein	98	36	14	19	22	8	42	7	10	46	66	36	56	14	15
ID=fig|823.92.peg.2951;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	8	4	3	7	2	0	10	3	6	14	25	14	20	0	5
ID=fig|823.92.peg.2952;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT_3905	6	18	15	67	108	60	168	60	126	24	36	28	48	36	14
ID=fig|823.92.peg.2953;Name=HlyD family secretion protein	26	30	38	64	81	56	118	60	63	38	44	38	49	50	16
ID=fig|823.92.peg.2954;Name=Efflux ABC transporter%2C permease protein	12	23	33	35	69	56	72	38	72	35	42	39	55	34	13
ID=fig|823.92.peg.2955;Name=Domain of unknown function / Efflux ABC transporter%2C permease protein	20	36	39	37	68	53	54	28	54	66	71	53	66	49	33
ID=fig|823.92.peg.2956;Name=Probable secreted glycosyl hydrolase	18	43	74	29	32	31	36	12	21	133	187	250	69	71	34
ID=fig|823.92.peg.2957;Name=Sugar or sugar phosphate isomerase/epimerase/dehydrotase	98	252	244	160	299	202	316	84	214	470	524	384	462	144	102
ID=fig|823.92.peg.2958;Name=Beta-phosphoglucomutase (EC 5.4.2.6);Ontology_term=KEGG_ENZYME:5.4.2.6	2	10	8	4	34	10	14	10	4	12	14	26	16	20	4
ID=fig|823.92.peg.2959;Name=DNA-binding protein HU-beta	863	640	574	172	146	188	388	116	240	198	777	610	234	497	408
ID=fig|823.92.peg.2960;Name=Glucose-6-phosphate isomerase (EC 5.3.1.9);Ontology_term=KEGG_ENZYME:5.3.1.9	54	132	160	84	196	94	219	68	105	223	470	259	198	85	48
ID=fig|823.92.peg.2961;Name=Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94);Ontology_term=KEGG_ENZYME:1.1.1.94	39	23	32	29	57	17	69	26	25	56	85	53	52	7	13
ID=fig|823.92.peg.2962;Name=Lysyl-tRNA synthetase (class II) (EC 6.1.1.6);Ontology_term=KEGG_ENZYME:6.1.1.6	77	127	132	91	207	83	212	68	62	185	235	180	181	124	57
ID=fig|823.92.peg.2963;Name=FIG00898989: hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2964;Name=Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18);Ontology_term=KEGG_ENZYME:2.7.7.18	4	6	2	8	14	0	10	0	0	2	8	2	4	2	0
ID=fig|823.92.peg.2965;Name=hypothetical protein	0	0	6	0	2	0	0	2	0	4	7	0	2	0	1
ID=fig|823.92.peg.2966;Name=Guanylate kinase (EC 2.7.4.8);Ontology_term=KEGG_ENZYME:2.7.4.8	4	2	6	6	10	8	18	4	8	22	29	16	7	10	3
ID=fig|823.92.peg.2967;Name=Protein YicC	20	2	18	14	32	24	30	2	8	44	94	26	31	10	8
ID=fig|823.92.peg.2968;Name=tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	4	22	14	7	15	4	18	12	12	25	44	36	28	14	6
ID=fig|823.92.peg.2969;Name=FIG00898644: hypothetical protein	30	10	46	19	13	27	16	8	24	17	24	44	4	28	8
ID=fig|823.92.peg.2970;Name=Methylmalonyl-CoA decarboxylase%2C beta chain (EC 4.1.1.41)%3B Oxaloacetate decarboxylase beta chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.41,KEGG_ENZYME:4.1.1.3	91	344	307	171	368	289	305	102	121	554	550	406	567	239	150
ID=fig|823.92.peg.2971;Name=Biotin carboxyl carrier protein > methylmalonyl-CoA decarboxylase	19	161	74	74	143	91	154	37	69	233	271	152	192	77	75
